ID,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,Partner,PaymentMethod,PhoneService,SeniorCitizen,TVProgram,TotalCharges,gender,tenure,Label
49,Month-to-month,No,Yes,Fiber optic,98.5,Yes,Yes,Electronic check,Yes,0,Yes,1037.75,Male,10,Yes
50,Month-to-month,No,No,Fiber optic,90.95,No,No,Electronic check,Yes,1,Yes,2897.95,Female,32,No
51,Month-to-month,No,No,DSL,41.63771415,No,No,Mailed check,Yes,0,No,41.63771415,Female,1,No
52,Month-to-month,Yes,No,DSL,51.2,No phone service,Yes,Credit card (automatic),No,0,Yes,1561.5,Female,30,Yes
53,One year,No,No internet service,No,19.2,No,Yes,Mailed check,Yes,0,No internet service,459.6,Female,26,No
54,Month-to-month,No,No,DSL,46.19046545,No,No,Electronic check,Yes,0,No,61.21860615,Male,1,Yes
55,One year,No,Yes,Fiber optic,109.25,Yes,Yes,Electronic check,Yes,0,Yes,8109.8,Female,72,Yes
56,Month-to-month,No,No,DSL,36.45,No phone service,No,Electronic check,No,1,Yes,36.45,Female,1,Yes
57,One year,No,Yes,Fiber optic,107.2770024,Yes,Yes,Electronic check,Yes,0,Yes,7178.353505,Male,68,No
58,One year,No,No,Fiber optic,85.55,Yes,Yes,Bank transfer (automatic),Yes,1,No,5251.75,Male,61,No
59,Month-to-month,No,No,Fiber optic,66.36210681,No,No,Electronic check,Yes,0,No,347.29067299999997,Female,5,Yes
60,Month-to-month,No,No,Fiber optic,88.84205362,Yes,No,Electronic check,Yes,0,Yes,2140.7794489999997,Male,24,Yes
61,Month-to-month,No,No,DSL,62.15,No,Yes,Mailed check,Yes,0,No,113.1,Female,2,No
62,Month-to-month,No,No,Fiber optic,67.54877727,No,No,Electronic check,Yes,0,No,130.7749072,Female,1,No
63,Month-to-month,No,No internet service,No,19.4,No,No,Bank transfer (automatic),Yes,0,No internet service,289.3,Female,15,Yes
64,Month-to-month,No,No,Fiber optic,76.8349897,Yes,Yes,Electronic check,Yes,0,Yes,2975.778504,Male,38,No
65,Month-to-month,No,No,Fiber optic,92.83879904,Yes,Yes,Electronic check,Yes,0,Yes,2267.262417000001,Male,24,Yes
66,Month-to-month,No,No,Fiber optic,59.44363669,Yes,Yes,Electronic check,Yes,0,Yes,2897.2811,Female,48,No
67,Month-to-month,No,No,Fiber optic,74.45,Yes,No,Mailed check,Yes,1,No,1145.7,Female,15,Yes
68,Month-to-month,No,No,DSL,54.2,No,Yes,Electronic check,Yes,0,No,1152.7,Male,22,Yes
69,Two year,Yes,No,DSL,70.8,Yes,Yes,Credit card (automatic),Yes,0,No,4859.95,Male,68,No
70,Month-to-month,Yes,No,DSL,45.7,No,Yes,Electronic check,Yes,0,No,45.7,Female,1,Yes
71,Month-to-month,No,No,DSL,24.9,No phone service,No,Credit card (automatic),No,0,No,49.7,Male,2,No
72,Month-to-month,No,No,Fiber optic,90.26148347,Yes,Yes,Electronic check,Yes,0,Yes,4378.4740649999985,Male,49,Yes
73,Month-to-month,No,No,Fiber optic,88.45,No,No,Electronic check,Yes,0,Yes,370.65,Male,4,Yes
74,One year,No,No internet service,No,20.25,No,No,Mailed check,Yes,0,No internet service,71.2,Female,3,No
75,Month-to-month,No,No internet service,No,19.65,No,Yes,Bank transfer (automatic),Yes,0,No internet service,655.85,Female,30,Yes
76,Month-to-month,No,No,Fiber optic,89.96864729,No,No,Electronic check,Yes,0,No,183.5724039,Female,2,No
77,Two year,Yes,Yes,Fiber optic,111.2,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,7530.8,Male,67,No
78,Month-to-month,No,No,DSL,44.7,No,No,Credit card (automatic),Yes,1,No,276.5,Male,6,No
79,Month-to-month,No,Yes,Fiber optic,98.7,No,Yes,Electronic check,Yes,0,Yes,5669.5,Female,56,No
80,One year,Yes,Yes,Fiber optic,105.2,Yes,Yes,Credit card (automatic),Yes,0,Yes,6225.4,Female,58,No
81,Month-to-month,No,No,Fiber optic,81.40952589,No,No,Electronic check,Yes,0,No,140.85235880000005,Female,1,Yes
82,One year,Yes,No internet service,No,19.15,No,Yes,Credit card (automatic),Yes,0,No internet service,998.1,Female,55,No
83,Month-to-month,Yes,Yes,DSL,71.35,No,Yes,Credit card (automatic),Yes,0,No,515.75,Male,7,No
84,Month-to-month,No,No internet service,No,20.05,No,Yes,Mailed check,Yes,0,No internet service,669.45,Female,33,No
85,One year,Yes,Yes,Fiber optic,103.7,Yes,Yes,Mailed check,Yes,0,Yes,3467.0,Female,33,Yes
86,Month-to-month,No,No,Fiber optic,84.15,No,Yes,Bank transfer (automatic),Yes,0,No,2585.95,Female,32,Yes
87,Month-to-month,No,No,Fiber optic,89.94682508,No,No,Electronic check,Yes,0,No,89.94682508,Female,1,Yes
88,Month-to-month,No,Yes,Fiber optic,99.82527826,Yes,Yes,Electronic check,Yes,0,Yes,5155.225902,Male,51,Yes
89,One year,No,No internet service,No,25.05,Yes,No,Credit card (automatic),Yes,0,No internet service,1171.5,Female,48,No
90,Two year,No,No,Fiber optic,104.15,Yes,Yes,Credit card (automatic),Yes,0,Yes,7365.3,Male,71,No
91,One year,No,No internet service,No,20.05,No,No,Credit card (automatic),Yes,0,No internet service,237.7,Female,11,No
92,Month-to-month,No,No,Fiber optic,77.84277387,No,No,Electronic check,Yes,0,No,77.84277387,Female,1,Yes
93,Two year,No,No internet service,No,25.6,Yes,Yes,Credit card (automatic),Yes,0,No internet service,1888.25,Female,71,No
94,Month-to-month,Yes,No internet service,No,19.3,No,No,Mailed check,Yes,0,No internet service,19.3,Male,1,No
95,Month-to-month,No,No,DSL,44.05,No,No,Credit card (automatic),Yes,0,No,202.15,Female,5,No
96,One year,No,No,Fiber optic,93.7,No,Yes,Bank transfer (automatic),Yes,0,No,5860.7,Female,61,No
97,Month-to-month,No,No,Fiber optic,88.4,No,No,Mailed check,Yes,0,Yes,788.6,Female,9,No
98,Month-to-month,No,No,Fiber optic,75.24104678,No,No,Electronic check,Yes,0,No,75.24104678,Female,1,Yes
99,Month-to-month,No,No,DSL,56.8,Yes,Yes,Credit card (automatic),Yes,0,No,1074.65,Male,18,No
100,Two year,Yes,No internet service,No,19.75,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1272.05,Female,57,No
101,Two year,Yes,No,Fiber optic,101.15,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,6638.35,Female,62,No
102,One year,No,No,DSL,65.4,No,No,Electronic check,Yes,0,Yes,2774.55,Male,44,No
103,Month-to-month,No,No,Fiber optic,91.0,Yes,No,Credit card (automatic),Yes,1,No,3180.5,Male,35,No
104,Month-to-month,No,Yes,Fiber optic,91.45,Yes,Yes,Electronic check,Yes,0,Yes,171.45,Male,2,No
105,Two year,No,Yes,DSL,69.9,Yes,Yes,Mailed check,Yes,0,No,4226.7,Male,61,No
106,Month-to-month,No,No,Fiber optic,100.0,Yes,No,Electronic check,Yes,0,Yes,3320.6,Female,33,No
107,One year,No,No internet service,No,24.8,Yes,No,Credit card (automatic),Yes,0,No internet service,321.7,Male,14,No
108,Month-to-month,No,No,DSL,49.75,No,No,Bank transfer (automatic),Yes,0,No,2535.55,Female,52,No
109,Two year,Yes,No internet service,No,19.7,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1396.9,Female,69,No
110,Month-to-month,No,No,Fiber optic,81.97816061,No,No,Electronic check,Yes,0,No,321.98941349999996,Female,3,Yes
111,Month-to-month,No,No,Fiber optic,84.34564215,No,No,Electronic check,Yes,0,No,222.1803565,Female,2,Yes
112,Two year,No,No internet service,No,20.5,No,No,Mailed check,Yes,0,No internet service,1035.7,Female,54,No
113,One year,No,Yes,Fiber optic,103.8474862,Yes,Yes,Electronic check,Yes,0,Yes,6593.482313,Male,62,Yes
114,Month-to-month,No,No,Fiber optic,78.40549104,Yes,No,Electronic check,Yes,0,No,1121.421494,Female,13,Yes
115,Month-to-month,No,No,Fiber optic,85.25,Yes,No,Electronic check,Yes,0,Yes,1734.5,Male,20,Yes
116,One year,No,Yes,DSL,81.25,Yes,No,Electronic check,Yes,0,Yes,5567.55,Male,64,No
117,Month-to-month,No,No,Fiber optic,77.85,No,No,Electronic check,Yes,0,Yes,299.2,Male,4,Yes
118,Month-to-month,No,Yes,Fiber optic,69.72561945,Yes,Yes,Electronic check,Yes,0,Yes,4855.233344,Male,67,Yes
119,Month-to-month,No,No,Fiber optic,70.15,No,No,Electronic check,Yes,0,No,123.8,Female,2,No
120,Two year,Yes,No internet service,No,20.15,No,No,Credit card (automatic),Yes,0,No internet service,970.85,Female,50,No
121,Two year,No,No,Fiber optic,104.05,No,Yes,Credit card (automatic),Yes,0,Yes,6605.55,Male,64,No
122,Month-to-month,No,No,Fiber optic,59.78029632,Yes,No,Electronic check,Yes,0,No,883.0528798,Female,16,Yes
123,Month-to-month,No,No,DSL,45.35,No,No,Electronic check,Yes,0,No,89.5,Male,2,Yes
124,Month-to-month,No,No,Fiber optic,88.7199845,Yes,No,Electronic check,Yes,0,Yes,1427.629418,Male,15,Yes
125,Month-to-month,No,No,Fiber optic,81.4,Yes,Yes,Bank transfer (automatic),Yes,0,No,3775.85,Male,45,No
126,Two year,No,Yes,Fiber optic,99.65,No,No,Electronic check,Yes,0,Yes,5941.05,Female,60,No
127,Month-to-month,No,Yes,Fiber optic,105.7,Yes,No,Electronic check,Yes,0,Yes,2979.5,Male,28,Yes
128,Month-to-month,No,No,DSL,45.21037799,No,No,Electronic check,Yes,0,No,48.69148553,Male,1,Yes
129,Month-to-month,No,No,Fiber optic,73.85,Yes,No,Mailed check,Yes,0,No,401.3,Female,6,No
130,Two year,No,No internet service,No,20.45,No,No,Mailed check,Yes,0,No internet service,20.45,Male,1,No
131,Month-to-month,No,No,Fiber optic,76.0004546,Yes,No,Electronic check,Yes,0,No,723.2145569,Male,9,Yes
132,Month-to-month,No,Yes,DSL,45.4,No phone service,No,Credit card (automatic),No,1,Yes,214.75,Male,5,No
133,One year,No,Yes,DSL,58.55,No,No,Credit card (automatic),Yes,0,No,3503.5,Female,63,No
134,Month-to-month,No,No,Fiber optic,87.96310116,Yes,No,Electronic check,Yes,0,No,787.8819185,Male,8,Yes
135,One year,No,No internet service,No,24.8,Yes,No,Credit card (automatic),Yes,0,No internet service,615.35,Female,23,No
136,Two year,Yes,No,DSL,82.85,No,Yes,Bank transfer (automatic),Yes,0,Yes,5776.45,Male,68,No
137,Month-to-month,No,No,Fiber optic,71.30062848,Yes,No,Electronic check,Yes,0,No,736.5193243,Female,11,Yes
138,One year,No,Yes,DSL,59.0,Yes,No,Mailed check,Yes,0,No,1654.45,Female,28,No
139,Month-to-month,Yes,No,DSL,45.75,No,No,Mailed check,Yes,1,No,344.2,Male,7,No
140,One year,No,Yes,Fiber optic,101.9,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,5265.5,Male,50,No
141,Month-to-month,No,Yes,DSL,64.95,No,No,Electronic check,Yes,1,Yes,493.65,Female,7,No
142,Two year,No,Yes,DSL,90.8,Yes,Yes,Credit card (automatic),Yes,0,Yes,6302.85,Male,68,No
143,Two year,Yes,Yes,DSL,75.8,Yes,Yes,Mailed check,Yes,0,Yes,4415.75,Female,58,No
144,Two year,No,No,Fiber optic,78.5,Yes,Yes,Bank transfer (automatic),Yes,1,No,5602.25,Female,72,No
145,Month-to-month,No,No internet service,No,23.6,Yes,Yes,Mailed check,Yes,0,No internet service,89.05,Male,3,No
146,Month-to-month,No,No,Fiber optic,94.1,Yes,No,Electronic check,Yes,0,Yes,701.3,Male,7,No
147,Month-to-month,No,No,Fiber optic,74.4,No,No,Electronic check,Yes,1,No,1074.3,Male,15,Yes
148,Month-to-month,No,No internet service,No,19.30477856,No,No,Mailed check,Yes,0,No internet service,19.30477856,Male,1,No
149,Two year,No,Yes,DSL,89.1,Yes,Yes,Credit card (automatic),Yes,1,Yes,6352.4,Female,72,No
150,Month-to-month,No,Yes,Fiber optic,99.55,Yes,Yes,Electronic check,Yes,1,Yes,1131.2,Female,11,Yes
151,Two year,No,No,DSL,81.05,No,Yes,Mailed check,Yes,0,Yes,4747.65,Male,61,No
152,Two year,Yes,Yes,DSL,86.75,No,Yes,Electronic check,Yes,0,Yes,5186.0,Male,59,No
153,Month-to-month,No,Yes,Fiber optic,104.15,Yes,No,Electronic check,Yes,0,Yes,2494.65,Female,24,No
154,Two year,No,No,Fiber optic,88.0,Yes,Yes,Credit card (automatic),Yes,0,No,5986.45,Male,70,No
155,One year,Yes,No,Fiber optic,94.7,Yes,Yes,Credit card (automatic),Yes,0,Yes,5430.35,Male,58,No
156,One year,No,Yes,DSL,79.4,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,5528.9,Male,70,No
157,Two year,Yes,No internet service,No,25.55,Yes,Yes,Credit card (automatic),Yes,0,No internet service,1336.1,Male,53,No
158,Month-to-month,No,No,DSL,50.8,No,No,Bank transfer (automatic),Yes,0,No,288.05,Female,6,Yes
159,Month-to-month,No,Yes,Fiber optic,101.4,Yes,No,Electronic check,Yes,1,Yes,3496.3,Male,35,Yes
160,Month-to-month,No,No,Fiber optic,99.8,Yes,Yes,Electronic check,Yes,0,Yes,5985.75,Female,60,No
161,Two year,Yes,Yes,DSL,85.9,Yes,Yes,Credit card (automatic),Yes,0,Yes,6110.75,Female,72,No
162,Month-to-month,Yes,Yes,Fiber optic,94.5,No,No,Mailed check,Yes,0,Yes,575.45,Male,6,Yes
163,Month-to-month,No,No internet service,No,21.02673293,No,No,Mailed check,Yes,0,No internet service,21.02673293,Male,1,Yes
164,Month-to-month,Yes,No,DSL,54.8,No,Yes,Mailed check,Yes,0,No,452.8,Male,9,No
165,Two year,Yes,No internet service,No,24.9,Yes,Yes,Mailed check,Yes,0,No internet service,1680.25,Female,67,No
166,Two year,Yes,No internet service,No,20.35,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1092.35,Female,54,No
167,Month-to-month,No,No,Fiber optic,97.06544094,Yes,No,Electronic check,Yes,0,Yes,1255.880629,Female,13,No
168,Month-to-month,No,No,Fiber optic,94.6,No,No,Electronic check,Yes,0,Yes,2283.15,Female,24,No
169,Month-to-month,No,No internet service,No,20.9,No,No,Mailed check,Yes,0,No internet service,247.0,Female,10,No
170,Month-to-month,No,Yes,Fiber optic,85.35,Yes,Yes,Bank transfer (automatic),Yes,1,No,1463.45,Female,17,Yes
171,Two year,Yes,Yes,DSL,70.85,No,Yes,Credit card (automatic),Yes,0,No,4973.4,Male,71,No
172,One year,No,No,Fiber optic,104.25,Yes,No,Electronic check,Yes,0,Yes,6860.6,Male,66,No
173,Month-to-month,No,Yes,Fiber optic,90.95,No,No,Credit card (automatic),Yes,0,No,1612.2,Male,17,No
174,Month-to-month,No,Yes,Fiber optic,99.05,Yes,No,Electronic check,Yes,1,Yes,3395.8,Male,35,Yes
175,Month-to-month,No,Yes,Fiber optic,99.05,Yes,Yes,Credit card (automatic),Yes,1,Yes,5295.7,Male,54,No
176,Month-to-month,No,No,DSL,74.75,No,No,Electronic check,Yes,1,Yes,2111.3,Male,30,No
177,Month-to-month,No,No,Fiber optic,81.45,Yes,No,Electronic check,Yes,1,No,2122.05,Male,27,Yes
178,Month-to-month,No,No,DSL,51.8,No,No,Mailed check,Yes,0,No,1023.85,Male,20,No
179,One year,No,Yes,Fiber optic,108.5,Yes,Yes,Mailed check,Yes,0,Yes,6880.85,Male,64,No
180,Month-to-month,No,No,Fiber optic,70.85,No,No,Electronic check,Yes,0,No,70.85,Female,1,Yes
181,Month-to-month,No,Yes,DSL,64.4,No,No,Credit card (automatic),Yes,0,No,1398.6,Male,20,No
182,Month-to-month,No,No,Fiber optic,81.7,No,No,Electronic check,Yes,1,No,1820.9,Female,22,No
183,Month-to-month,No,No,DSL,45.45,No,No,Mailed check,Yes,0,No,141.7,Male,3,No
184,Two year,Yes,Yes,DSL,79.15,No,Yes,Credit card (automatic),Yes,0,Yes,3566.6,Male,43,No
185,Two year,Yes,Yes,DSL,80.6,No,Yes,Bank transfer (automatic),Yes,0,Yes,4946.7,Female,60,No
186,Month-to-month,No,No,Fiber optic,94.4,Yes,No,Electronic check,Yes,0,Yes,1617.5,Female,17,Yes
187,Month-to-month,No,No,Fiber optic,83.85,Yes,Yes,Bank transfer (automatic),Yes,1,No,5588.8,Male,67,No
188,Month-to-month,No,No internet service,No,20.95,No,No,Mailed check,Yes,0,No internet service,109.5,Female,6,No
189,Two year,No,No internet service,No,19.45,No,No,Credit card (automatic),Yes,0,No internet service,369.05,Male,17,No
190,Month-to-month,No,No,DSL,45.86322971,No,No,Electronic check,Yes,0,No,99.15365509,Female,2,Yes
191,Two year,Yes,No internet service,No,20.1,No,Yes,Mailed check,Yes,0,No internet service,936.85,Male,46,No
192,Month-to-month,No,No,DSL,45.85,No,No,Mailed check,Yes,0,No,45.85,Male,1,Yes
193,Month-to-month,No,No,DSL,56.25,No,No,Electronic check,Yes,0,No,56.25,Female,1,Yes
194,Month-to-month,No,No,DSL,45.55,No phone service,Yes,Electronic check,No,0,Yes,2062.15,Female,46,No
195,Month-to-month,No,No,Fiber optic,89.55,Yes,No,Electronic check,Yes,0,No,2259.35,Female,24,No
196,Two year,Yes,Yes,Fiber optic,108.3,No,Yes,Bank transfer (automatic),Yes,0,Yes,7679.65,Female,72,No
197,Month-to-month,No,No,Fiber optic,80.05,No,No,Credit card (automatic),Yes,0,No,1112.3,Female,14,No
198,Month-to-month,No,No,Fiber optic,73.85,Yes,No,Electronic check,Yes,0,No,511.25,Female,7,Yes
199,Month-to-month,No,No,Fiber optic,93.9,Yes,No,Mailed check,Yes,0,Yes,486.85,Female,5,Yes
200,Month-to-month,No,Yes,Fiber optic,95.6,Yes,No,Credit card (automatic),Yes,0,No,1555.65,Female,16,Yes
201,Two year,No,Yes,DSL,63.9,No phone service,No,Credit card (automatic),No,0,Yes,3334.95,Male,52,No
202,Month-to-month,No,No,Fiber optic,74.35153086,No,No,Electronic check,Yes,0,No,74.35153086,Female,1,Yes
203,Month-to-month,No,No internet service,No,38.07294734,No,No,Mailed check,Yes,0,No internet service,38.07294734,Male,1,Yes
204,Month-to-month,Yes,No,DSL,35.05,No phone service,Yes,Bank transfer (automatic),No,0,No,1620.25,Female,46,No
205,Month-to-month,No,No,Fiber optic,89.0,Yes,No,Credit card (automatic),Yes,1,Yes,1288.3,Female,15,No
206,Two year,Yes,No internet service,No,25.25,Yes,Yes,Mailed check,Yes,0,No internet service,1211.65,Female,49,No
207,Month-to-month,Yes,Yes,DSL,48.7,No phone service,Yes,Bank transfer (automatic),No,0,No,2495.2,Female,53,No
208,Month-to-month,No,No,Fiber optic,97.45413532,Yes,No,Electronic check,Yes,0,Yes,1757.4338420000001,Male,18,Yes
209,Month-to-month,No,Yes,Fiber optic,98.0,No,Yes,Electronic check,Yes,1,Yes,1237.85,Male,13,Yes
210,Month-to-month,No,No,DSL,45.0,No,No,Electronic check,Yes,1,No,127.1,Female,3,Yes
211,One year,No,Yes,Fiber optic,109.5,No,Yes,Bank transfer (automatic),Yes,0,Yes,7534.65,Male,70,Yes
212,Month-to-month,Yes,No,DSL,54.5,No,Yes,Electronic check,Yes,0,No,2076.05,Female,38,No
213,Month-to-month,No,No,Fiber optic,86.52023633,Yes,No,Electronic check,Yes,0,No,371.310878,Male,4,Yes
214,Month-to-month,No,No,DSL,44.86419897,No,No,Electronic check,Yes,0,No,80.51355876,Female,2,Yes
215,One year,No,No internet service,No,18.8,No,Yes,Mailed check,Yes,0,No internet service,294.95,Male,15,No
216,Two year,Yes,No internet service,No,26.0,Yes,Yes,Credit card (automatic),Yes,0,No internet service,1654.85,Female,65,No
217,Month-to-month,No,No,Fiber optic,93.89781049,No,No,Electronic check,Yes,0,No,176.8512476,Female,2,Yes
218,Month-to-month,No,No,Fiber optic,74.4,Yes,Yes,Mailed check,Yes,1,No,306.6,Male,4,Yes
219,Month-to-month,No,No,DSL,48.85,Yes,No,Mailed check,Yes,0,No,631.4,Female,15,No
220,Month-to-month,No,No,Fiber optic,99.95592208,Yes,No,Electronic check,Yes,0,No,387.29664469999994,Female,4,No
221,Month-to-month,No,Yes,Fiber optic,97.50593458,Yes,Yes,Electronic check,Yes,0,Yes,5623.323490999999,Male,56,No
222,Two year,No,Yes,DSL,62.5,No phone service,No,Bank transfer (automatic),No,0,Yes,4136.4,Female,66,No
223,Month-to-month,No,No,Fiber optic,103.5645906,Yes,Yes,Electronic check,Yes,0,Yes,2685.3024739999996,Male,26,No
224,Two year,Yes,No internet service,No,19.6,No,Yes,Credit card (automatic),Yes,0,No internet service,125.0,Male,8,No
225,Month-to-month,No,No,Fiber optic,77.32609877,No,No,Electronic check,Yes,0,No,77.32609877,Female,1,No
226,Two year,No,Yes,DSL,84.1,Yes,Yes,Credit card (automatic),Yes,1,Yes,6129.65,Female,72,No
227,Two year,No,Yes,DSL,67.8,Yes,Yes,Bank transfer (automatic),Yes,0,No,4804.65,Male,72,No
228,One year,No,No,DSL,39.65,No phone service,No,Credit card (automatic),No,0,No,1798.65,Female,47,No
229,One year,No,Yes,Fiber optic,108.29422590000001,Yes,Yes,Electronic check,Yes,0,Yes,6026.248652,Male,55,Yes
230,Month-to-month,No,No,Fiber optic,75.0,No,No,Bank transfer (automatic),Yes,0,No,1778.5,Female,23,No
231,Month-to-month,No,Yes,Fiber optic,74.9,No,No,Electronic check,Yes,0,No,74.9,Female,1,Yes
232,Month-to-month,No,No,Fiber optic,84.70475414,Yes,No,Electronic check,Yes,0,No,350.97033930000015,Female,4,Yes
233,Two year,No,Yes,Fiber optic,100.9,Yes,No,Bank transfer (automatic),Yes,0,Yes,7459.05,Male,72,No
234,Month-to-month,No,Yes,Fiber optic,75.15,No,Yes,Bank transfer (automatic),Yes,0,No,496.9,Female,7,Yes
235,Month-to-month,No,No,DSL,59.48637267,No,No,Electronic check,Yes,0,No,59.48637267,Female,1,Yes
236,Month-to-month,No,No,DSL,45.0,No,No,Bank transfer (automatic),Yes,0,No,524.35,Female,12,No
